window_start,train_loss,eval_loss,mae,rmse,r2
840,0.1233796489238739,0.19517694413661957,0.057047534734010696,0.08333925385106584,0.9240692853927612
846,0.12351698292626274,0.1943969428539276,0.057050738483667374,0.08330089774800033,0.9212817549705505
852,0.12330913556946649,0.1982801854610443,0.056930772960186005,0.08269903308857839,0.9197759032249451
858,0.12326770544052124,0.19760887324810028,0.056635066866874695,0.08276020875510157,0.9170008301734924
864,0.12326690899001227,0.19724296033382416,0.05624594911932945,0.08228080686405698,0.9153830409049988
870,0.12243152101834615,0.19702103734016418,0.055441442877054214,0.08132668610709838,0.9155805706977844
876,0.12231287121772766,0.1949324607849121,0.056315239518880844,0.08268443959617593,0.9109326601028442
882,0.12132359637154473,0.1934773325920105,0.055835966020822525,0.08171903994474158,0.9106709957122803
888,0.1213740242852105,0.19565531611442566,0.055153366178274155,0.08096780486716522,0.9100009799003601
894,0.11914165536562601,0.19868344068527222,0.055630434304475784,0.080245401540364,0.9109039902687073
900,0.12090609497494167,0.19541293382644653,0.05562749132514,0.08074715885531887,0.9092996716499329
906,0.11998068730036418,0.19815783202648163,0.05445387214422226,0.07926623252693736,0.9121659994125366
912,0.11888955646091037,0.200200617313385,0.053690627217292786,0.07835459054182517,0.9136242270469666
918,0.12010115649965074,0.20895780622959137,0.05602043494582176,0.0816953457418861,0.9056296348571777
924,0.11967095096906026,0.2111566662788391,0.0553775317966938,0.08017298267233482,0.9087821841239929
930,0.11704959379302131,0.20862120389938354,0.05524088442325592,0.08068577564237821,0.9074981808662415
936,0.11847926100095113,0.2084355354309082,0.054303281009197235,0.08021131058168947,0.9086955785751343
942,0.11718191186587015,0.20769864320755005,0.056674785912036896,0.08093749617057408,0.9070637822151184
948,0.11738947166336908,0.20527391135692596,0.05521764978766441,0.07948650192154381,0.9106755256652832
954,0.11778762406773037,0.21082063019275665,0.05672682076692581,0.08225375606995804,0.9056106805801392
960,0.11658035000165304,0.2163771092891693,0.05700644850730896,0.08233802064294071,0.9076765775680542
966,0.11644806332058377,0.22157052159309387,0.05667960271239281,0.08251071916738736,0.9103080034255981
972,0.11601544313960606,0.22138969600200653,0.056294601410627365,0.08096575454171655,0.9156304597854614
978,0.11390801323784722,0.21727526187896729,0.057433657348155975,0.0828864584935379,0.91294264793396
